card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Bulbasaur,Reverse Holo,17,28,6,17,54,12cd0dd0d6109f1b149f821bbf936e82013f54d1,Bulbasaur Reverse Holo 001
001,Bulbasaur,Base,1,9,5,1,17,6d418b2571068a95102f8650e6246b9a89c376f3,Bulbasaur Base 001
002,Ivysaur,Reverse Holo,9,23,3,9,35,c6683af434e35fdb7ce0f752358032c870c7da6d,Ivysaur Reverse Holo 002
002,Ivysaur,Base,1,3,0,1,4,0195fb8f8f541c9e878fbac3d86e3dcc1a9ba645,Ivysaur Base 002
003,Mega Venusaur EX,Base,1186,603,92,1186,1915,2c15cf1c1a053ec2498be3586dd96e3e46d143cf,Mega Venusaur EX Base 003
004,Exeggcute,Reverse Holo,0,0,1,0,1,cd3de91ae45854b725245e53ba724035644eca83,Exeggcute Reverse Holo 004
004,Exeggcute,Base,0,1,0,0,1,c7b000a1c4a5d06a335aa3a3d74c43248c8064b6,Exeggcute Base 004
005,Exeggutor,Reverse Holo,2,4,0,2,6,78129b9a33383cc3732b7315bc2e6cff13c1948b,Exeggutor Reverse Holo 005
005,Exeggutor,Base,0,0,1,0,1,5bd69d5905a31bd009af75a66b358ab6956fee53,Exeggutor Base 005
006,Tangela,Reverse Holo,1,4,1,1,7,c30c25272364e92dddf8116abbdac1c311f962cd,Tangela Reverse Holo 006
006,Tangela,Base,3,2,1,3,6,36f037ce5edc817c30a79fc91a967fae2cad2c0a,Tangela Base 006
007,Tangrowth,Base,0,1,0,0,1,69f22892028ac123262ebcf5988970ed7cffdcdb,Tangrowth Base 007
008,Chikorita,Reverse Holo,6,7,1,6,14,90485ea068679bed0791dfff17c350ce4241320b,Chikorita Reverse Holo 008
008,Chikorita,Base,1,2,0,1,4,6e1a31b8b562d6c0d909c28471d2362778a25379,Chikorita Base 008
009,Bayleef,Reverse Holo,1,5,2,1,8,44b28933b3edb166e7d94be6b2cce21db04fbf1d,Bayleef Reverse Holo 009
009,Bayleef,Base,1,2,0,1,3,1c2c84f01e76a52127c980df5131e09e56a08ea0,Bayleef Base 009
010,Meganium,Base,6,30,14,6,51,f0df49b0a1ffc0db5ba28d7a9b3aaa97349c0f14,Meganium Base 010
010,Meganium,Reverse Holo,1,12,2,1,15,f7a5b9ddd156dba1b0fe0836cf4171f214130e69,Meganium Reverse Holo 010
011,Shuckle,Reverse Holo,1,4,1,1,6,3f3f746841748cd8fa8b318d33ecbb561530ca54,Shuckle Reverse Holo 011
011,Shuckle,Base,0,3,0,0,4,74414a26db141bf0d8ef3514f31965ded89bf978,Shuckle Base 011
012,Celebi,Reverse Holo,7,12,2,7,21,8a271fdef7183040a0af5331af5bebe8062fd6a7,Celebi Reverse Holo 012
012,Celebi,Base,3,6,0,3,9,f1c87bae3ff35785d526c65491a20b05ffe92dd9,Celebi Base 012
013,Seedot,Reverse Holo,1,0,0,1,1,a2b5b7d52048c017462c8f9de6a77c5db28ed8a1,Seedot Reverse Holo 013
015,Shiftry,Base,3,0,1,3,4,3b80683dab1e970073d6db40d60bbe6d09546a91,Shiftry Base 015
018,Dhelmise,Reverse Holo,0,1,0,0,1,b8cd0b1cabde4d4ee62997106e41448a6181f08f,Dhelmise Reverse Holo 018
019,Vulpix,Reverse Holo,3,6,1,3,10,834878c922b6a6a7fad0416573400457f3f4da45,Vulpix Reverse Holo 019
019,Vulpix,Base,2,2,0,2,4,5c9515964a4b6bce2dcb106784bfa3e37a54478c,Vulpix Base 019
020,Ninetales,Reverse Holo,6,8,2,6,17,f19bb7dde6b85701e6ad8d7d88421599bc90a525,Ninetales Reverse Holo 020
020,Ninetales,Base,1,5,3,1,9,065fda6ea50acdf463b6104318e7c3670aa93c98,Ninetales Base 020
021,Numel,Reverse Holo,0,1,0,0,1,01389c3dc9af0fe97e9c94bc644db5cf25de24f3,Numel Reverse Holo 021
022,Mega Camerupt EX,Base,303,189,43,303,552,3349d173d4b18bf597341211a0f82bf7104c3273,Mega Camerupt EX Base 022
023,Litleo,Reverse Holo,1,1,0,1,2,00efb55294857788300013ab5417fa3030594b94,Litleo Reverse Holo 023
023,Litleo,Base,0,1,0,0,1,508abda4a7b7b2c744372ded73dfc5ce884abb0a,Litleo Base 023
024,Pyroar,Reverse Holo,0,0,1,0,1,c70ce1bee037b056a3ff60691f6c182c3627da70,Pyroar Reverse Holo 024
025,Volcanion,Reverse Holo,2,3,0,2,6,a987e22d60628cf31c7023b7a4168dab9918df12,Volcanion Reverse Holo 025
025,Volcanion,Base,0,2,0,0,2,fd8ca633cb10454291cab6e6c6e1fc18eb7a9705,Volcanion Base 025
026,Scorbunny,Reverse Holo,3,0,0,3,4,0b189794f683a7e38c734aa8f591436bce63f30d,Scorbunny Reverse Holo 026
026,Scorbunny,Base,1,0,0,1,1,42d90af58914b658363648b46c0816e925dba6c3,Scorbunny Base 026
027,Raboot,Reverse Holo,2,2,2,2,6,10f959d733e0d61889be547d07e7c92d4583f419,Raboot Reverse Holo 027
028,Cinderace,Reverse Holo,0,6,1,0,7,037d7b3f33c5ab19083aa074f50531b9399880a7,Cinderace Reverse Holo 028
028,Cinderace,Base,2,3,2,2,7,21f3ccbb39f905010be02e261c5b4c4ec2733933,Cinderace Base 028
029,Sizzlipede,Reverse Holo,0,1,0,0,1,5aedf4873f6da4da74bf664ce25f0d83c00a18b2,Sizzlipede Reverse Holo 029
030,Centiskorch,Reverse Holo,0,0,1,0,1,40bee9fb2f220938a12b2bb7b7374a5c9e10d099,Centiskorch Reverse Holo 030
031,Chi-YU,Reverse Holo,2,2,0,2,4,74f4e544eba516c90e84da24f258624419f77933,Chi-YU Reverse Holo 031
031,Chi-YU,Base,1,0,0,1,1,5c1294ee1622be64fbb81ee3ddab557586de10e5,Chi-YU Base 031
032,Mantine,Base,1,2,0,1,4,04f7bd105b37586d9edfb1513ae1ad21cfed5fec,Mantine Base 032
033,Corphish,Reverse Holo,0,3,1,0,4,8e101521a7dc3ae98d33c0a88e5d016b9a69385b,Corphish Reverse Holo 033
033,Corphish,Base,1,0,0,1,1,4d69e8012030b6ce8ba0b7c14e8d11de241223b8,Corphish Base 033
034,Kyogre,Base,9,31,17,9,59,d778e0b7f35f2dbc25cc62afa8cf02dcd55331b5,Kyogre Base 034
034,Kyogre,Knock Out Collection,4,12,10,4,29,57fffd7f6a2239e00281e0753bce6564d09de5b5,Kyogre Knock Out Collection 034
034,Kyogre,Reverse Holo,2,4,3,2,11,2ea957dc15882525be82e150692391e990b569f4,Kyogre Reverse Holo 034
036,Mega Abomasnow EX,Base,300,194,40,300,546,501a90c3657e223547cc4fd91b9cf54f44358f63,Mega Abomasnow EX Base 036
037,Clauncher,Reverse Holo,1,5,0,1,6,c0df1164302a1de40f4fba48895ea0265917694b,Clauncher Reverse Holo 037
037,Clauncher,Base,1,1,0,1,2,198f3c9b8360b26ce44e5eb058d975ccb80b3812,Clauncher Base 037
038,Clawitzer,Base,2,8,5,2,15,07890836831cb0334fc37ff8107b12c08583bb04,Clawitzer Base 038
038,Clawitzer,Reverse Holo,1,3,0,1,4,7a4ba9905ad2c26f793a25c455b3dee274ca8251,Clawitzer Reverse Holo 038
039,Sobble,Base,0,1,2,0,3,44873631980eeac050cae72bdfef3ef7a2ace836,Sobble Base 039
