card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Bulbasaur,Base,6,1,0,6,7,b6fafdf1d75525e31be038c7a4e6b2a9b5ff9af7,Bulbasaur Base 001
002,Ivysaur,Base,5,1,0,5,7,b6a6ef280ee9738b7d3c537e6eb79345b195299b,Ivysaur Base 002
003,Mega Venusaur EX,Base,701,101,20,701,833,2fd10ca01ecd66b223c846390a9e86c38af45c4a,Mega Venusaur EX Base 003
005,Exeggutor,Base,1,0,0,1,1,d4e3da6e47e348ab0de37451b9c75d8fa22e5720,Exeggutor Base 005
011,Ninetales,Base,1,0,0,1,2,7700fc8ce3edae662cd877819182ec7cd5b66dfc,Ninetales Base 011
013,Mega Camerupt EX,Base,143,36,7,143,190,0cd462b6ede3d960082f37e07234c0c4c795f031,Mega Camerupt EX Base 013
017,Cinderace,Base,4,1,0,4,5,7e87b911b71c442bbcdedd3faa01ecf1a16c242c,Cinderace Base 017
020,Sandshrew,Base,18,0,0,18,18,1afb0cf48ad8aef663505fcb81175fbcc53228db,Sandshrew Base 020
022,Onix,Base,1,0,0,1,1,01e49a917f1f88420b573a9cf26fa3e28746a4a8,Onix Base 022
024,Makuhita,Base,0,1,0,0,1,c85cb1d96af8c049a264dd6ad05761750e4fdb76,Makuhita Base 024
025,Hariyama,Base,2,0,0,2,2,0cde6baea7dd5a6a7bac490955ddee3a8f1babdb,Hariyama Base 025
026,Lunatone,Base,2,0,0,2,2,47d9a12f168b800e198b7330b58453ed27c28a44,Lunatone Base 026
028,Riolu,Base,15,0,0,15,15,753e6b7a6fce38754bc61a187636730fc0f20b43,Riolu Base 028
029,Mega Lucario EX,Base,408,61,7,408,481,b8f923fe00f663d79e047ddf7324c6e6b932e94e,Mega Lucario EX Base 029
030,Croagunk,Base,1,0,0,1,1,6c7ba30dcd0e2ca04263c379f97d16128ed854c7,Croagunk Base 030
032,Marshadow,Base,1,0,0,1,1,a3267fae63bb7620994a60e7bcae8f9179f223a0,Marshadow Base 032
038,Mega Absol EX,Base,176,27,6,176,211,69577eb47186280083e6266fac249f28aef90c72,Mega Absol EX Base 038
040,Yveltal,Base,2,1,0,2,3,821d5dbadc7417464e640d3e501b03505573099f,Yveltal Base 040
041,Nickit,Base,1,0,0,1,1,39eb3b3719a5b409a047b9e10363dc6ab1a92a61,Nickit Base 041
