card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
003,Mega Venusaur EX,Base,2,0,0,2,2,0764dd5609d1ea4696a6db25f6361afe25474b25,Mega Venusaur EX Base 003
013,Mega Camerupt EX,Base,1,1,0,1,2,d26228d89daeac075dea22b53bf24a0a4cdcf59f,Mega Camerupt EX Base 013
017,Cinderace,Base,0,1,0,0,1,4f4ff0b90fbe752b27cdbd5a8db8170c35428a04,Cinderace Base 017
026,Lunatone,Base,0,1,0,0,1,63b493424ee1679e1c88fe792fa4ae33349716d1,Lunatone Base 026
029,Mega Lucario EX,Base,2,0,1,2,3,736d0fe737526527d18651a33532b23b75907ce1,Mega Lucario EX Base 029
038,Mega Absol EX,Base,1,0,0,1,1,b5e3b1e85daa5b1e9f5142fc3187d4d2edf2973e,Mega Absol EX Base 038
046,Mega Mawile EX,Base,1,1,0,1,2,0bf3b6fc29629f7d562dcbc6f8ed0822f4e4dc27,Mega Mawile EX Base 046
064,Bulbasaur,Art Rare,27,5,0,27,33,574b313ced70098f6a614003b640c08c9df01141,Bulbasaur Art Rare 064
065,Ivysaur,Art Rare,18,4,0,18,22,3fe2c3f73a1dd0e341baf2349265cfebe9cb3571,Ivysaur Art Rare 065
066,Exeggutor,Art Rare,2,0,0,2,2,1b708c0d2061eaae79ee3cb8744e181e55ae4e07,Exeggutor Art Rare 066
067,Vulpix,Art Rare,7,0,0,7,7,49929861278b0dfe35526e816b7a6b6d49580e1e,Vulpix Art Rare 067
068,Riolu,Art Rare,20,2,1,20,23,d442dbf5db751f35f3c1edcc3636ff3061c2485a,Riolu Art Rare 068
069,Marshadow,Art Rare,14,3,2,14,19,477999251456a370e8cefcd05ee71623337ac7ad,Marshadow Art Rare 069
070,Garganacl,Art Rare,2,2,0,2,4,0be63f595501a77af7ad0add2985194153efd1c1,Garganacl Art Rare 070
072,Shroodle,Art Rare,2,1,0,2,3,0bc7c37bbe5f9cefdf5edbd2b2b464d277e63312,Shroodle Art Rare 072
073,Steelix,Art Rare,10,1,0,10,11,608054d20289e19bdffdda1c52b376c2e73e438a,Steelix Art Rare 073
074,Spearow,Art Rare,1,1,0,1,2,1e9a33c861dae0c9f1100763fbbf981b29ef5767,Spearow Art Rare 074
075,Gumshoos,Art Rare,5,0,0,5,5,224d52589f31229f1c8abbb229098b7f49c7b9a4,Gumshoos Art Rare 075
076,Mega Venusaur EX,Super Rare,7,0,0,7,7,a115c26086d37a5a6ef9dfb6691eaa9cde696d41,Mega Venusaur EX Super Rare 076
077,Mega Camerupt EX,Super Rare,1,0,0,1,1,29e7333c3e719ce84a8e405af0a57d542b27367d,Mega Camerupt EX Super Rare 077
078,Mega Lucario EX,Super Rare,9,3,1,9,13,dd51b2156dfee7e6be99132a7e256f6c8144689f,Mega Lucario EX Super Rare 078
079,Mega Absol EX,Super Rare,1,1,0,1,2,415f7628f1cb4117784f7ac97f80efe4af5dc743,Mega Absol EX Super Rare 079
080,Mega Mawile EX,Super Rare,3,1,0,3,4,6b382a624720cc1e54fc485508b8e51e86833551,Mega Mawile EX Super Rare 080
081,Night Stretcher,Super Rare,0,1,0,0,1,7e78f21d626ac2f3e786098ea8d71f549059fe87,Night Stretcher Super Rare 081
082,Premium Power Pro,Super Rare,0,1,0,0,1,4d1c89d933d6ab6cae67715857f5b3d86063ee86,Premium Power Pro Super Rare 082
085,Lillie's Determination,Super Rare,41,23,1,41,65,b495581e04bacf7d4a21e72e8e388ce7bcf1cc18,Lillie's Determination Super Rare 085
086,LT. Surge's Deal,Super Rare,0,1,0,0,1,20b3960c8aed28b34eddad162e74bdb6cde2e3b1,LT. Surge's Deal Super Rare 086
087,Mega Venusaur EX,Special Art Rare,29,3,0,29,33,f1d326a5d8c1fa5e73bdcd75825b7a9675626119,Mega Venusaur EX Special Art Rare 087
088,Mega Lucario EX,Special Art Rare,54,9,1,54,66,cbbacbdcca6f8a1e6cae6d6a757131eb66e85998,Mega Lucario EX Special Art Rare 088
089,Mega Absol EX,Special Art Rare,7,3,0,7,11,2454680c147ac5c2d5809bd17917eb5f1a89a134,Mega Absol EX Special Art Rare 089
090,Lillie's Determination,Special Art Rare,71,106,20,71,200,9a2b65b97cd184fd4c95b8c126e121bb51b5966e,Lillie's Determination Special Art Rare 090
091,LT. Surge's Deal,Special Art Rare,4,4,1,4,9,aba1b812e12f1fed72ade0037a7cf000e78c7234,LT. Surge's Deal Special Art Rare 091
092,Mega Lucario EX,Mega Ultra Rare,45,24,2,45,71,26ac7f791d31f1c1640764cdbf09619cf6a09448,Mega Lucario EX Mega Ultra Rare 092
