card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
018,Mega Abomasnow EX,Base,0,1,0,0,1,3062aeef27208a4c54c340899b38b9fb0437ade0,Mega Abomasnow EX Base 018
049,Mega Latias EX,Base,2,0,0,2,2,8c7da68634929642b133d3896d3631b0e8519643,Mega Latias EX Base 049
064,Shuckle,Art Rare,7,2,0,7,9,a0869236d471ba9f37c764ff41f0123716738b8a,Shuckle Art Rare 064
065,Ninjask,Art Rare,4,0,1,4,5,ba045615ea887d5407f2abbb72744598977d9459,Ninjask Art Rare 065
066,Litleo,Art Rare,3,1,0,3,4,61ccf87dba171e7bced0e670f2263943c03cb0f7,Litleo Art Rare 066
067,Snover,Art Rare,4,0,0,4,4,b491994261f36655fa646024106ccf48e110fc38,Snover Art Rare 067
068,Clawitzer,Art Rare,2,1,0,2,3,e88e9cb54b57e23d11d45fa3548403123e1d3c10,Clawitzer Art Rare 068
069,Inteleon,Art Rare,3,0,0,3,3,d77fb6e7da92554fcb05d943cd5918cb9530426b,Inteleon Art Rare 069
070,Helioptile,Art Rare,3,2,0,3,5,306eb0c54a89558222c52564d1514d8d16385572,Helioptile Art Rare 070
071,Alakazam,Art Rare,9,1,0,9,10,d20190ab5929003632c61ceb7c801e6d19be3b53,Alakazam Art Rare 071
072,Shedinja,Art Rare,2,1,0,2,3,fc768815998731d76a41dc46a6e6f9d463283804,Shedinja Art Rare 072
073,Houndstone,Art Rare,5,1,0,5,6,9f9ffe70f18acd9acf1b922be131e1e38a036d18,Houndstone Art Rare 073
074,Delibird,Art Rare,3,0,0,3,3,2f9685d1c52f452e46b67d7d33f87bc7a1d45e46,Delibird Art Rare 074
075,Stufful,Art Rare,5,0,0,5,5,4a3d6d61399f7a3d41a47d174a7ab484be99beb4,Stufful Art Rare 075
076,Mega Abomasnow EX,Super Rare,3,1,0,3,4,0df9685d85621a3838cffc1e49039c6519703469,Mega Abomasnow EX Super Rare 076
077,Mega Manectric EX,Super Rare,4,0,0,4,4,5ac627dab24931b556957f0111a57c45b04561c2,Mega Manectric EX Super Rare 077
078,Mega Gardevoir EX,Super Rare,9,2,0,9,11,5d5d63c3b8bc75a4c19ee8e9608033fda268b38b,Mega Gardevoir EX Super Rare 078
079,Mega Latias EX,Super Rare,3,1,0,3,4,82ab44b016fcb723e30346b4139ec90aab6d067e,Mega Latias EX Super Rare 079
080,Mega Kangaskhan EX,Super Rare,1,1,0,1,2,f8908d79760b0e3f545e5dbe4ca709d648918921,Mega Kangaskhan EX Super Rare 080
081,Mega Signal,Super Rare,1,0,0,1,1,4ab67e06dc5d0db29085ec90181d8f210bf29bc5,Mega Signal Super Rare 081
082,Rare Candy,Super Rare,0,0,1,0,1,ee26cf3852e63e3e3ac0053a918544f2cb6141b3,Rare Candy Super Rare 082
084,Wally's Compassion,Super Rare,0,3,0,0,3,54071f734319db78cc917a703c25b3948ca38502,Wally's Compassion Super Rare 084
085,Acerola's Mischief,Super Rare,6,3,0,6,9,6474d833221d2939f6f88f06daa4829de1e47bb9,Acerola's Mischief Super Rare 085
086,Mystery Garden,Super Rare,2,2,0,2,4,c6737791e84cc686d1e767bf608427480d45b363,Mystery Garden Super Rare 086
087,Mega Gardevoir EX,Special Art Rare,59,10,1,59,70,3bb46a4d99d1d9c3ee2db82020965e88bfac6c11,Mega Gardevoir EX Special Art Rare 087
088,Mega Latias EX,Special Art Rare,12,8,1,12,21,95b1adc60f2c65ab7361ae14185db794e65f1470,Mega Latias EX Special Art Rare 088
089,Mega Kangaskhan EX,Special Art Rare,10,3,0,10,13,d7a9224301c63468acd000e8aa58be571062c068,Mega Kangaskhan EX Special Art Rare 089
090,Wally's Compassion,Special Art Rare,3,4,0,3,7,971c2469ec3b588cf1ece2698bbe0b0283e782d8,Wally's Compassion Special Art Rare 090
091,Acerola's Mischief,Special Art Rare,11,26,3,11,40,2e43f0568ff0e4b7601abd0cc8fad49c2e7cbf04,Acerola's Mischief Special Art Rare 091
092,Mega Gardevoir EX,Mega Ultra Rare,40,21,2,40,64,531faaef36ec0d362895ed7ae1d8e16b65d29eab,Mega Gardevoir EX Mega Ultra Rare 092
