card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Charizard-Holo,Base,33152,2300,415,33152,36441,e1f028de9f9514637e4d7b4bf42fa07dcecf06c1,Charizard-Holo Base 001
002,Venusaur-Holo,Base,19964,1609,223,19964,22028,c1aa047b9e18f79e05c5c5e7dca3e3ff60508a2b,Venusaur-Holo Base 002
003,Blastoise-Holo,Base,19365,2375,400,19365,22402,3dfa225ea323d15a625634d08e25e38666cf68cf,Blastoise-Holo Base 003
004,Imposter Professor Oak-Holo,Base,2590,133,18,2590,2757,01c54f2b15bb309472dc7e2517c974aeec8e2b1f,Imposter Professor Oak-Holo Base 004
005,Dark Gyarados-Holo,Base,10214,606,114,10214,11051,e0e34d491dc154e8b06eeb90d8c918ab459312a3,Dark Gyarados-Holo Base 005
006,Here Comes Team Rocket!-Holo,Base,7354,591,83,7354,8127,e04698b1987651d9ba3ac579a273242aa627c11d,Here Comes Team Rocket!-Holo Base 006
007,Birthday Pikachu-Holo,Base,26235,3713,401,26235,30779,2ec7a84e5e708ac1941d9c8fada48f1539b3a08f,Birthday Pikachu-Holo Base 007
008,Rocket's Zapdos-Holo,Base,6002,377,57,6002,6489,797d3cc9dd71d70138de887464e3a6152495b500,Rocket's Zapdos-Holo Base 008
009,Cleffa-Holo,Base,4044,350,51,4044,4500,c092a72a109c8f30d3591b99a60c7ab45a233db8,Cleffa-Holo Base 009
010,Shining Magikarp-Holo,Base,22067,1358,238,22067,23902,2eaf6f22b4f00726b7633f85f9292dde3097cfa8,Shining Magikarp-Holo Base 010
011,Team Magma's Groudon-Holo,Base,5692,365,82,5692,6206,c533deb4652682a06c62d0a773469b748a753ce7,Team Magma's Groudon-Holo Base 011
012,Umbreon-Gold Star,Base,27600,2615,319,27600,30900,764c899f722efb27a74af1bd73cc90d2cd829c73,Umbreon-Gold Star Base 012
013,Rocket's Admin-Holo,Base,2728,171,41,2728,2961,7bfdf6049845a5e13819d3a825268090ce30c4cb,Rocket's Admin-Holo Base 013
014,Mew EX-Holo,Base,11230,1578,164,11230,13121,ce99317fe448757a205236af87c56b572d265971,Mew EX-Holo Base 014
015,Gardevoir EX-Holo,Base,5213,382,50,5213,5694,a46da86c4bd0b4da87a52a2fa65a71ca4d471b01,Gardevoir EX-Holo Base 015
016,Claydol-Holo,Base,2370,181,13,2370,2580,58198b6ab9face0f81ed56081a1756e8a14f5987,Claydol-Holo Base 016
017,Luxray GL LV.X-Holo,Base,3034,165,32,3034,3253,6a785eaac71139c929933a55dd94c725969ef588,Luxray GL LV.X-Holo Base 017
018,Garchomp C LV.X-Holo,Base,5273,336,40,5273,5703,fd06df60cb2d11c3672760aa8ada74c09e1806ee,Garchomp C LV.X-Holo Base 018
019,Donphan-Holo,Base,2888,147,22,2888,3076,7b0f3637c1da4ed525449f4f4c9753d47babeb2f,Donphan-Holo Base 019
020,Full Art/Reshiram,Base,15768,1195,182,15768,17339,340b561e19d69e0d87c8a7a5a1d3e5ff1b1bced1,Full Art/Reshiram Base 020
021,Full Art/Zekrom,Base,15990,1257,184,15990,17648,50d54c66b39bdb0320fd4c46229cb411326b9674,Full Art/Zekrom Base 021
022,Mewtwo EX,Base,10253,695,109,10253,11153,102a8e663564034ebda2a735fb02fc734a94e3f3,Mewtwo EX Base 022
023,Xerneas EX,Base,4159,234,41,4159,4466,54931ba150171df690344f7d05a368b936d0b5b6,Xerneas EX Base 023
024,M Rayquaza EX,Base,14346,897,188,14346,15644,7038546106077a6dc156ee34294b717dedea50e5,M Rayquaza EX Base 024
025,Tapu Lele GX,Base,2834,347,25,2834,3232,c9a7db2d8dc93e9f592544e6ba06733091bcff3e,Tapu Lele GX Base 025
