card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Charizard-Holo,Base,216,117,6,216,346,790937dfd914f70b13e840fd4172025efe809d3d,Charizard-Holo Base 001
002,Venusaur-Holo,Base,84,19,0,84,104,5aefd3678833188b80651047b7a18f7d53811c7a,Venusaur-Holo Base 002
003,Blastoise-Holo,Base,92,24,3,92,121,e8a0c47b06a1d69497cc3f6c57ccc9540852fa28,Blastoise-Holo Base 003
004,Imposter Professor Oak-Holo,Base,5,0,0,5,5,09600fa68fef4a2464d8db542e7c4ca31d8864fe,Imposter Professor Oak-Holo Base 004
005,Dark Gyarados-Holo,Base,11,1,0,11,12,fedb5276f265c3bc2a6aa3f2eb63c0aad26802b8,Dark Gyarados-Holo Base 005
006,Here Comes Team Rocket!-Holo,Base,4,0,0,4,4,a2cad3f86322a2f76682979315d8b0c0d1bd2199,Here Comes Team Rocket!-Holo Base 006
007,Birthday Pikachu-Holo,Base,74,13,2,74,89,35f7a6ef7e8673f5004554706fc4b6b2650db84a,Birthday Pikachu-Holo Base 007
008,Rocket's Zapdos-Holo,Base,11,2,0,11,14,1ede76e0b08b78296f2a27276946919823d68273,Rocket's Zapdos-Holo Base 008
009,Cleffa-Holo,Base,8,0,0,8,8,74fd9650b24379602a7b4288ae8a337386d9b517,Cleffa-Holo Base 009
010,Shining Magikarp-Holo,Base,32,9,0,32,41,92561ed3f5cac03c65e18e456268557a416d83ca,Shining Magikarp-Holo Base 010
011,Team Magma's Groudon-Holo,Base,5,3,0,5,8,1243f66bc527e14209f4ba83046fd02767c22fd8,Team Magma's Groudon-Holo Base 011
012,Umbreon-Gold Star,Base,87,26,5,87,119,e5dd195871ccb99df176ea006e40a3534112a0a5,Umbreon-Gold Star Base 012
013,Rocket's Admin-Holo,Base,4,1,0,4,5,6cfa1e48bff1b7b4b874691404ac0d450f268b19,Rocket's Admin-Holo Base 013
014,Mew EX-Holo,Base,12,1,0,12,13,7e8d5a0345e5a331928248e50fcfd0f16ed2f31a,Mew EX-Holo Base 014
015,Gardevoir EX-Holo,Base,8,3,1,8,13,f11d4c9aa8f5b0565aa19e0ba97b9bb874ea8a74,Gardevoir EX-Holo Base 015
016,Claydol-Holo,Base,4,0,0,4,4,66afce2493510c55d8329e61c2737bb65b76a005,Claydol-Holo Base 016
017,Luxray GL LV.X-Holo,Base,4,1,1,4,6,c5429daa55572fd43a343f71b65ba59d90f9ea57,Luxray GL LV.X-Holo Base 017
018,Garchomp C LV.X-Holo,Base,16,1,1,16,18,1c0c42abc35e7577be507fdaf6b2ed4a9eac3b31,Garchomp C LV.X-Holo Base 018
019,Donphan-Holo,Base,5,2,0,5,7,0b16bd23db27e75d3f9cb5977af699dc78f5688c,Donphan-Holo Base 019
020,Full Art/Reshiram,Base,24,8,0,24,32,82b59eee448ca4aa198ec842ee37be1274f8a054,Full Art/Reshiram Base 020
021,Full Art/Zekrom,Base,31,5,0,31,36,32fa6895952818a0b37ab65785c72f53fd95106b,Full Art/Zekrom Base 021
022,Mewtwo EX,Base,14,3,0,14,17,a7c0feb6d7955bd95e5c8d9a9ba36986a2daf628,Mewtwo EX Base 022
023,Xerneas EX,Base,5,1,0,5,6,818a85e97e4372be795b95bad54bdd6518b39a9a,Xerneas EX Base 023
024,M Rayquaza EX,Base,19,2,1,19,22,427ac4321b671747cc6b34fd2ef581b38d74b89b,M Rayquaza EX Base 024
025,Tapu Lele GX,Base,6,0,0,6,7,a4fe5da7f94bbf6b78fdf797564b07edb9faae3a,Tapu Lele GX Base 025
