card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Snivy,Unova Poster Collection,55,90,14,55,163,42cc2d36740363d6e4e895baf733dd271ffb86ea,Snivy Unova Poster Collection 001
001,Snivy,Master Ball Reverse Holo,32,32,5,32,71,c950420e2b923ace736082dd756ee11db07a946f,Snivy Master Ball Reverse Holo 001
001,Snivy,Poke Ball Reverse Holo,3,3,0,3,6,75f24e6c3a195697bbd81240d2ae7a24373bc567,Snivy Poke Ball Reverse Holo 001
001,Snivy,Base,2,2,0,2,4,0a6e74200020dda285e4aa27568901a0eb23fb04,Snivy Base 001
001,Snivy,Reverse Holo,0,2,0,0,2,1bfb80f2e7ff7c867d73cffe85c9c801331db1c0,Snivy Reverse Holo 001
002,Servine,Master Ball Reverse Holo,21,12,1,21,35,28a4a89eee66673224a643101484e3595dd71b37,Servine Master Ball Reverse Holo 002
002,Servine,Poke Ball Reverse Holo,5,3,1,5,9,29b8b880ccce60cd858f92b2fa0ce092fbc90000,Servine Poke Ball Reverse Holo 002
002,Servine,Base,0,2,0,0,2,5c2ab3fc521ec8785a0f7f39a118b7800c40d17f,Servine Base 002
003,Serperior EX,Base,111,133,33,111,280,6cddbea00bce74bd1957b4a6673863ad7505f85c,Serperior EX Base 003
004,Pansage,Master Ball Reverse Holo,9,9,0,9,19,25e2f3088e120e07b45d0950d4652e0552c3f9a4,Pansage Master Ball Reverse Holo 004
004,Pansage,Poke Ball Reverse Holo,4,4,0,4,8,978e97080cc09d042a4dcabf73afe90bbb17d2ca,Pansage Poke Ball Reverse Holo 004
004,Pansage,Reverse Holo,0,0,1,0,1,1cecc0e6d7ff59735e944fd6edd7a6a42376ab73,Pansage Reverse Holo 004
005,Simisage,Master Ball Reverse Holo,3,9,1,3,13,9d6d0df91915d6155e57d0452ea700e04a0bbb7c,Simisage Master Ball Reverse Holo 005
005,Simisage,Poke Ball Reverse Holo,4,7,1,4,12,f2afd68951bf1b02b27861ea834abff48880db11,Simisage Poke Ball Reverse Holo 005
005,Simisage,Reverse Holo,1,0,0,1,2,055be6072eb8c7ec621d6ef39181aa0c8e779030,Simisage Reverse Holo 005
006,Petilil,Master Ball Reverse Holo,17,7,1,17,25,28bc4698aef6692a3dcca7f3b3a096b040ffda23,Petilil Master Ball Reverse Holo 006
006,Petilil,Poke Ball Reverse Holo,5,5,1,5,11,aa69ae138c5c38e7d37ae216978a6a7216be40a9,Petilil Poke Ball Reverse Holo 006
006,Petilil,Reverse Holo,0,0,0,0,1,37036e85fd56ce3ef8ca9fc9efa254140d8ae7f0,Petilil Reverse Holo 006
006,Petilil,Base,0,0,1,0,1,3ad1a467430d82b606c4a0b77e4263fdd8bcf35e,Petilil Base 006
007,Lilligant,Master Ball Reverse Holo,7,4,1,7,13,c3b3a41f0dfecbd23e5ca240593d81be94fcace6,Lilligant Master Ball Reverse Holo 007
007,Lilligant,Poke Ball Reverse Holo,4,0,0,4,4,2f7d11349d9c6113d9e8d12dae1a785ae613525d,Lilligant Poke Ball Reverse Holo 007
008,Maractus,Master Ball Reverse Holo,7,4,0,7,11,cd63064053a416f07b12a4fa7884cc56dc9d5da1,Maractus Master Ball Reverse Holo 008
008,Maractus,Poke Ball Reverse Holo,2,3,1,2,6,bae6a62b1146c9b1c6e27868293ee529b7dc5bdf,Maractus Poke Ball Reverse Holo 008
008,Maractus,Base,0,0,1,0,1,c686303fd99b01239f513377747a5b8855887583,Maractus Base 008
009,Karrablast,Master Ball Reverse Holo,12,5,0,12,17,0f1bded9dab6eb07854565e774689ce18fe67f33,Karrablast Master Ball Reverse Holo 009
009,Karrablast,Poke Ball Reverse Holo,3,4,0,3,8,30b1b7c418b6fc4a572639b2d432ccdf5c139d3e,Karrablast Poke Ball Reverse Holo 009
009,Karrablast,Base,0,0,2,0,2,2268124878c571afe9b092c03fa305ebb9b37bce,Karrablast Base 009
010,Foongus,Master Ball Reverse Holo,4,5,2,4,11,18d85fa03393a2eb9ef4b78a6449f182313c8dfe,Foongus Master Ball Reverse Holo 010
010,Foongus,Poke Ball Reverse Holo,3,1,0,3,4,a4d9434619da6f0d9dd5f51eac52f10750dec9a5,Foongus Poke Ball Reverse Holo 010
010,Foongus,Reverse Holo,1,0,0,1,1,26db6b3810b45ec67e5f2ce431fbc0ee70e65efd,Foongus Reverse Holo 010
011,Amoonguss,Master Ball Reverse Holo,4,4,0,4,8,ebd8ab6792bea5c00a85308fb76cb7eb53c03560,Amoonguss Master Ball Reverse Holo 011
011,Amoonguss,Poke Ball Reverse Holo,0,1,0,0,1,b88344845daf69ef272aa2f18568cc95fb192bcd,Amoonguss Poke Ball Reverse Holo 011
012,Victini,Poke Ball Reverse Holo,76,539,316,76,967,f3d30c7a2a4dbc3a07ee9e2d0348e41b3ca32dd7,Victini Poke Ball Reverse Holo 012
012,Victini,Master Ball Reverse Holo,148,91,11,148,257,0aca0be62cc76d9817c4a10ee215cd7bd2e5d4de,Victini Master Ball Reverse Holo 012
012,Victini,Base,23,119,77,23,234,7fc15f0e6b2b051404ac472765f2762fd8251cdf,Victini Base 012
012,Victini,Unova Heavy Hitters Premium Collection,15,81,50,15,153,df465bc1cac892931b0af2ebdf24abd12259eda9,Victini Unova Heavy Hitters Premium Collection 012
012,Victini,Reverse Holo,1,8,4,1,15,96c80be3e1326367b31dd18c0cf27540cae0d892,Victini Reverse Holo 012
013,Darumaka,Master Ball Reverse Holo,10,6,0,10,16,3518f89c46c59dea997dc5ad53dc65514e0a4530,Darumaka Master Ball Reverse Holo 013
013,Darumaka,Poke Ball Reverse Holo,8,6,1,8,15,0309f1a87760b7c1e4a53de2adf117f25e219b7c,Darumaka Poke Ball Reverse Holo 013
013,Darumaka,Base,1,0,0,1,1,b9bf22bc83d0b6ae38c9c03e3cb4283cc3b48b85,Darumaka Base 013
014,Darmanitan,Master Ball Reverse Holo,7,5,0,7,13,5ec3828b995b335cae911e601f5cb3085701e8ca,Darmanitan Master Ball Reverse Holo 014
014,Darmanitan,Poke Ball Reverse Holo,4,2,0,4,6,327f80a086fb2aabf8251eaf3eecce5cdcf2332c,Darmanitan Poke Ball Reverse Holo 014
