card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Snivy,Master Ball Reverse Holo,101,14,14,101,130,2daa41ca2701e63aa658c07200aff596befd1e1f,Snivy Master Ball Reverse Holo 001
001,Snivy,Reverse Holo,1,4,0,1,5,9c30666069414ffdec2338e07fb8ae82364bb016,Snivy Reverse Holo 001
001,Snivy,Base,1,0,0,1,1,2e54707bc8c839b6877f6b62bcd40bf6df8ad33d,Snivy Base 001
002,Servine,Master Ball Reverse Holo,78,17,5,78,101,14cd17e27a7d74503c0bafb7fe9704179bbc0193,Servine Master Ball Reverse Holo 002
002,Servine,Reverse Holo,2,1,1,2,4,53d8bff2e8a0462cfcbdcdc0c5d2f5a3e328c9a7,Servine Reverse Holo 002
003,Serperior EX,Base,22,8,0,22,30,ffebd89b09588883f4f82d07d7a4a58a5e45f424,Serperior EX Base 003
004,Pansage,Master Ball Reverse Holo,52,6,1,52,59,3d529e28d6ae82e01cbc3a9638eb956320537998,Pansage Master Ball Reverse Holo 004
005,Simisage,Master Ball Reverse Holo,84,8,2,84,94,8e5e84a57d4034eac795af5482f6ffdaf94aea59,Simisage Master Ball Reverse Holo 005
005,Simisage,Reverse Holo,0,4,0,0,4,1da8e27d143b8ea375fd4a7261ba558135aa1d69,Simisage Reverse Holo 005
006,Petilil,Master Ball Reverse Holo,78,10,2,78,90,85399c78da7a8b4c76c74eaeecfb0166550e1389,Petilil Master Ball Reverse Holo 006
006,Petilil,Reverse Holo,0,1,0,0,1,5955d346dfb9aef2d9c78f0edfc319d7b9112e4f,Petilil Reverse Holo 006
007,Lilligant,Master Ball Reverse Holo,53,7,3,53,64,0356a425dc8dd4e21493d0b4f64fc8bdd0c9f553,Lilligant Master Ball Reverse Holo 007
007,Lilligant,Reverse Holo,1,0,0,1,1,cd75905ecb07a80d2b7edebd5bfd5891c9de0f5d,Lilligant Reverse Holo 007
008,Maractus,Master Ball Reverse Holo,60,6,3,60,69,eb45984bc602a7071f5dac13eb4249d881c40576,Maractus Master Ball Reverse Holo 008
009,Karrablast,Master Ball Reverse Holo,59,8,1,59,69,7564e04f0475b63117e880981fa9c9242b8bba7f,Karrablast Master Ball Reverse Holo 009
010,Foongus,Master Ball Reverse Holo,50,7,1,50,59,36de57900842be6386aafa784a625e775edb6cb9,Foongus Master Ball Reverse Holo 010
010,Foongus,Reverse Holo,0,1,0,0,1,7530c81c9daadd5d03e675ef7e3315a431db198c,Foongus Reverse Holo 010
011,Amoonguss,Master Ball Reverse Holo,31,3,0,31,34,b5b6a845c81a99b5b064cb443ed9a438a957453c,Amoonguss Master Ball Reverse Holo 011
012,Victini,Master Ball Reverse Holo,794,91,45,794,939,199b7ee16c159d198209c274896cfda28e58a1e3,Victini Master Ball Reverse Holo 012
