card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Snivy,Master Ball Reverse Holo,0,1,0,0,1,be6a6f4dc69a22a07cad07a2313dba7d86685743,Snivy Master Ball Reverse Holo 001
003,Serperior EX,Base,2,1,0,2,3,0a7ed23352798bb2f3e76d8af2507e37cbbe62a9,Serperior EX Base 003
012,Victini,Master Ball Reverse Holo,4,2,0,4,6,b36afab818308bf5a50230a153c0b526bd679cfb,Victini Master Ball Reverse Holo 012
012,Victini,Reverse Holo,1,0,2,1,3,f9d6e63ab5eaa1dc525e6b08e53cccee30df2362,Victini Reverse Holo 012
012,Victini,Base,1,0,0,1,1,4471e319dd92a9122bdd5acb87108c5c4e8d5117,Victini Base 012
017,Chandelure,Master Ball Reverse Holo,1,0,0,1,1,c97bbc96ee625260bc154281675cd1db02dddb47,Chandelure Master Ball Reverse Holo 017
020,Panpour,Reverse Holo,1,0,0,1,1,20509d5a4284ac5de2b5a3b9e3f5729b75ea3c10,Panpour Reverse Holo 020
031,Kyurem EX,Base,0,1,0,0,1,133887649d73b7f67a01eee65bdb9ecc72f9090d,Kyurem EX Base 031
032,Emolga,Master Ball Reverse Holo,0,1,0,0,1,24c918cd1543390554b4ea8d55e21d02de8a67ed,Emolga Master Ball Reverse Holo 032
036,Thundurus,Base,1,0,0,1,1,1f93dc69b9eb4d670eaa6a8c2b9c427c098d0e15,Thundurus Base 036
037,Zekrom EX,Base,0,0,1,0,1,f411913d7977ab24105a0a6e5a4c28802e33bfe4,Zekrom EX Base 037
052,Conkeldurr,Master Ball Reverse Holo,1,0,0,1,1,bcca4361ba98e6d0b682b63d6a600ef255fa50a4,Conkeldurr Master Ball Reverse Holo 052
056,Landorus,Base,0,1,0,0,1,c8507b959976c2ac5db99a6d6ba3d74d18400aa5,Landorus Base 056
087,Snivy,Art Rare,6,1,1,6,8,afd8e5bc8f4f0a3ba772b4f1074c6748f373cc29,Snivy Art Rare 087
090,Simisage,Art Rare,2,0,0,2,2,d1ade839af68a63c902df1164e1b980c117e214a,Simisage Art Rare 090
091,Petilil,Art Rare,0,0,1,0,1,44db8748d53fd7a2c59957a7716d0bc64ea085a3,Petilil Art Rare 091
092,Lilligant,Art Rare,2,0,0,2,2,a3de01a53c5c3335e082254962f6261b99cd4baf,Lilligant Art Rare 092
093,Maractus,Art Rare,1,0,0,1,1,725cffdf01f2070b74ebae49493346b655aba3bb,Maractus Art Rare 093
096,Amoonguss,Art Rare,2,0,0,2,2,e886b01861c18324e332fbe25de4f2fe773087a4,Amoonguss Art Rare 096
097,Victini,Art Rare,13,9,1,13,24,d6259e5566d840e3b92fe03bbb5f628fe33e064e,Victini Art Rare 097
098,Darumaka,Art Rare,0,2,2,0,4,970536af37d0cbdfe032d7f65ddc85674400a3c1,Darumaka Art Rare 098
099,Darmanitan,Art Rare,1,0,0,1,1,46d23acfc02b9d5b87d43f34431e92323b633048,Darmanitan Art Rare 099
100,Litwick,Art Rare,1,1,0,1,2,0e263fa3cff82e87661526900c4ae67ebf84434d,Litwick Art Rare 100
102,Chandelure,Art Rare,4,0,0,4,4,eda6fb968211842c8077443a3a0da1a488843c60,Chandelure Art Rare 102
103,Larvesta,Art Rare,1,0,0,1,1,3bf3ddc8b6baae23cc7f6437f4c124ae82e760d1,Larvesta Art Rare 103
104,Volcarona,Art Rare,1,1,0,1,2,a475dc035aca86ed409ee85a526d60bf9f35021a,Volcarona Art Rare 104
105,Panpour,Art Rare,1,0,0,1,1,49da27d696023c7790effdc48bae8558d8bc6217,Panpour Art Rare 105
106,Simipour,Art Rare,1,1,0,1,2,819acd2b99f0f81ddfe15eb1140cdc6f2f758fe0,Simipour Art Rare 106
108,Palpitoad,Art Rare,0,1,0,0,1,f7aba26af5a4b92646ff2b5df2295b158cfec86b,Palpitoad Art Rare 108
109,Seismitoad,Art Rare,61,19,6,61,86,ab10cbd05a8168519f67f044d9b0a005f12d6954,Seismitoad Art Rare 109
110,Tirtouga,Art Rare,1,0,0,1,1,a731794d1b0d22bb664862330fbf395f820193d4,Tirtouga Art Rare 110
114,Beartic,Art Rare,0,1,0,0,1,e9ae29af338b5b8675cedc213a483047170eafa3,Beartic Art Rare 114
115,Cryogonal,Art Rare,1,0,0,1,1,bd59674db24c5226517fad04fca093c1d5e9d3dd,Cryogonal Art Rare 115
116,Emolga,Art Rare,2,0,0,2,2,28ca1eb5e2e6f5fae79d457914a5177660dfb2e6,Emolga Art Rare 116
117,Tynamo,Art Rare,1,1,0,1,2,22e96c6e268483a9ad1da05b6f399bd5a6697bfb,Tynamo Art Rare 117
118,Eelektrik,Art Rare,1,0,0,1,1,14ef8a41e480edfef98e0bbe01d11fdbcb04ee21,Eelektrik Art Rare 118
119,Eelektross,Art Rare,1,0,0,1,1,4e4c0b9314002225d972912acd27631a28cec535,Eelektross Art Rare 119
123,Solosis,Art Rare,4,1,0,4,5,9707a85e71e9368011c04272a7e1998b16b0006a,Solosis Art Rare 123
