card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Sewaddle,Master Ball Reverse Holo,14,7,0,14,21,ce6b94f7c8ef20ae329d9cc77a159247e563011d,Sewaddle Master Ball Reverse Holo 001
001,Sewaddle,Poke Ball Reverse Holo,4,3,1,4,8,8d9d8d7305deb8641ff227a72af00d3c0b4df196,Sewaddle Poke Ball Reverse Holo 001
002,Swadloon,Master Ball Reverse Holo,4,5,0,4,9,b768fa6ae21e211a086cfc739543e45c097bcedc,Swadloon Master Ball Reverse Holo 002
002,Swadloon,Poke Ball Reverse Holo,2,0,0,2,2,4c2e275010e42bb43c5e2bd1b3615550faa5cd85,Swadloon Poke Ball Reverse Holo 002
003,Leavanny,Master Ball Reverse Holo,6,4,0,6,10,8b89d44449a512e603c1574a1e23038c4e0c9d22,Leavanny Master Ball Reverse Holo 003
003,Leavanny,Poke Ball Reverse Holo,3,0,0,3,3,1c73238762a74874ac0eb2093d30de5896327c6f,Leavanny Poke Ball Reverse Holo 003
004,Cottonee,Master Ball Reverse Holo,13,10,1,13,25,25b05ece3a01630eb6f7cf770b67e10b6a008e65,Cottonee Master Ball Reverse Holo 004
004,Cottonee,Poke Ball Reverse Holo,4,3,1,4,8,ea4904775e0cbf8ac1c66960ad594b929e0f7bbf,Cottonee Poke Ball Reverse Holo 004
005,Whimsicott EX,Base,44,48,14,44,109,5da7b0e65dc29575b976be9f036bffb49fec8342,Whimsicott EX Base 005
006,Deerling,Master Ball Reverse Holo,18,12,0,18,30,6b402e02fce17f82e7ff3bc8eb911793f927111b,Deerling Master Ball Reverse Holo 006
006,Deerling,Poke Ball Reverse Holo,2,4,0,2,6,e4565098003c4a293d095b9d089ac41273290ae9,Deerling Poke Ball Reverse Holo 006
006,Deerling,Base,0,0,0,0,1,13f92c4ca3432b46af2510bd8c301a5b92c877dc,Deerling Base 006
006,Deerling,Reverse Holo,0,1,0,0,1,c98a9f133a19145bdadaad5bd1d09a418c6f6242,Deerling Reverse Holo 006
007,Sawsbuck,Master Ball Reverse Holo,4,5,0,4,10,bc9c5ddac44aeafed384c39803341137bb698468,Sawsbuck Master Ball Reverse Holo 007
007,Sawsbuck,Poke Ball Reverse Holo,2,3,1,2,6,813593d6c8896c2042071078298a68a6de7c839c,Sawsbuck Poke Ball Reverse Holo 007
007,Sawsbuck,Reverse Holo,0,1,0,0,1,d6afbfedb788aff64ed8040fa217f799780ae8cb,Sawsbuck Reverse Holo 007
007,Sawsbuck,Base,0,0,1,0,1,9babf73a4586d29ba678bd831e5b65c0539678d4,Sawsbuck Base 007
008,Shelmet,Master Ball Reverse Holo,6,8,0,6,14,94dc20612dac4941284a0cfff9649ba3e8aba30d,Shelmet Master Ball Reverse Holo 008
008,Shelmet,Poke Ball Reverse Holo,4,0,0,4,4,3c86cb3f1f60ac0ac10bc4fcbfba94b7c76d1f4d,Shelmet Poke Ball Reverse Holo 008
008,Shelmet,Base,0,1,1,0,2,cffbf494f29052cfd68159cb6c5219c5cb2b9587,Shelmet Base 008
008,Shelmet,Reverse Holo,0,0,1,0,1,c846bb231dd3eb21f17116046360b7aa67df9d93,Shelmet Reverse Holo 008
009,Accelgor,Master Ball Reverse Holo,11,6,0,11,17,9f4a2b793fb237bf194715675064d8fea644fe7f,Accelgor Master Ball Reverse Holo 009
009,Accelgor,Poke Ball Reverse Holo,1,1,0,1,2,0a1ea0d825691863d3f3e77f5cc02ecfcf353340,Accelgor Poke Ball Reverse Holo 009
010,Virizion,Master Ball Reverse Holo,19,2,1,19,22,3c29baf77a42447e0834c75c5ae4550992e16465,Virizion Master Ball Reverse Holo 010
010,Virizion,Base,2,7,3,2,13,a4fac8632769f329b969f7776fe66b05e87830f4,Virizion Base 010
010,Virizion,Poke Ball Reverse Holo,4,3,1,4,8,24e172da0f494485939bee5774965d88ebd6194b,Virizion Poke Ball Reverse Holo 010
010,Virizion,Reverse Holo,1,1,1,1,3,224aa2b79e80a80a5efca88da20db1ba968c74a9,Virizion Reverse Holo 010
011,Tepig,Unova Poster Collection,44,90,31,44,166,513ad69f9711382f1ed602d1379733b069534179,Tepig Unova Poster Collection 011
011,Tepig,Master Ball Reverse Holo,27,16,3,27,46,526dc272d284087d0b95843f22d53ccebb73e41b,Tepig Master Ball Reverse Holo 011
011,Tepig,Base,1,9,1,1,11,b29bd8d3744d73634686bc29364b07a3b34951e9,Tepig Base 011
011,Tepig,Poke Ball Reverse Holo,5,4,0,5,10,9c9e5567ad10d753734fd11064d9b554e1ce203d,Tepig Poke Ball Reverse Holo 011
012,Pignite,Master Ball Reverse Holo,4,6,0,4,10,2015e830520c3f2d9bfc871cef9ec9ee6c50c776,Pignite Master Ball Reverse Holo 012
012,Pignite,Poke Ball Reverse Holo,5,3,1,5,9,4d96cfc27ffbd2023303bb7116380cf4efc099ce,Pignite Poke Ball Reverse Holo 012
013,Emboar,Master Ball Reverse Holo,22,8,0,22,30,6fa4ad1c95cd1416d18b05fef3072ddeee391308,Emboar Master Ball Reverse Holo 013
013,Emboar,Base,1,7,1,1,11,f83bb3d87743985e8e79619b082e5a50793049c2,Emboar Base 013
