card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Sewaddle,Master Ball Reverse Holo,88,9,2,88,100,9621ed0f430e202d8d76a1110aad39fcf994e9ee,Sewaddle Master Ball Reverse Holo 001
002,Swadloon,Master Ball Reverse Holo,43,4,1,43,49,9aabf364c09940aae8b0c2517d920ff590aef7fa,Swadloon Master Ball Reverse Holo 002
002,Swadloon,Reverse Holo,0,1,0,0,1,0c1c095599b8ee1360fdbe3b95da8c454ccd5644,Swadloon Reverse Holo 002
003,Leavanny,Master Ball Reverse Holo,42,5,1,42,49,1b75a044d3f419bebdb04e0c49c2b42eb8dd789e,Leavanny Master Ball Reverse Holo 003
004,Cottonee,Master Ball Reverse Holo,96,4,1,96,101,cd4d34c30f6e7b5b506349b61c473c42aa89b68d,Cottonee Master Ball Reverse Holo 004
005,Whimsicott EX,Base,10,3,0,10,13,9bca66529e04ac85eb0339dcd52d8d99cbeaa015,Whimsicott EX Base 005
006,Deerling,Master Ball Reverse Holo,61,3,1,61,65,95ccc75f210b1c65a855a1073c9bde96a70cbb36,Deerling Master Ball Reverse Holo 006
007,Sawsbuck,Master Ball Reverse Holo,64,14,5,64,83,b1d97bdf3614872eee5c322c628f580ad07562a4,Sawsbuck Master Ball Reverse Holo 007
008,Shelmet,Master Ball Reverse Holo,58,2,1,58,61,b4b32630449864912a41b24110744d47cae75728,Shelmet Master Ball Reverse Holo 008
009,Accelgor,Master Ball Reverse Holo,59,6,1,59,66,0d6dd080fcf401eb28cfec8c7fb2dbdb46eddaaf,Accelgor Master Ball Reverse Holo 009
009,Accelgor,Reverse Holo,1,0,0,1,1,0e3714212e650ea3335b11928939116fb69e5249,Accelgor Reverse Holo 009
010,Virizion,Master Ball Reverse Holo,67,7,1,67,76,e61c8ed042986440c470153a50f0dd411f144a93,Virizion Master Ball Reverse Holo 010
011,Tepig,Master Ball Reverse Holo,113,27,6,113,146,6a2f7c3aac9e8c9b077e3deeb91d63debb2129f6,Tepig Master Ball Reverse Holo 011
011,Tepig,Reverse Holo,0,4,1,0,5,0c0c80a7c2218750b5a72a322fb237c0ae0dccb1,Tepig Reverse Holo 011
012,Pignite,Master Ball Reverse Holo,61,23,7,61,92,1173732801e4a3ffe80e42e45f0cb80ba7eb3000,Pignite Master Ball Reverse Holo 012
012,Pignite,Reverse Holo,1,0,0,1,1,b71be468096f88cd23aac72f7060961fcfa9ee34,Pignite Reverse Holo 012
013,Emboar,Master Ball Reverse Holo,91,19,11,91,121,08a1ae2551dcf2cb71be173365506ae63f05e755,Emboar Master Ball Reverse Holo 013
013,Emboar,Base,4,0,0,4,4,77ff21fca95f7f0838d850880710af72a70e0a28,Emboar Base 013
013,Emboar,Reverse Holo,0,1,0,0,1,2bb5f5c2c48fa9027a64c0656a9290b52d14976a,Emboar Reverse Holo 013
014,Pansear,Master Ball Reverse Holo,49,7,6,49,62,0facb1a91ea32dff688183411382147199f213e6,Pansear Master Ball Reverse Holo 014
014,Pansear,Reverse Holo,0,1,0,0,1,2292ee0402b9521215dba6d7441afc7175152bfd,Pansear Reverse Holo 014
015,Simisear,Master Ball Reverse Holo,21,6,3,21,30,0ef21b96696d4871be17faca4d9b60133b17fa26,Simisear Master Ball Reverse Holo 015
015,Simisear,Reverse Holo,0,1,0,0,1,c60a65e96cdb92dea7a11f86c1a65676f9c3a17d,Simisear Reverse Holo 015
016,Heatmor,Master Ball Reverse Holo,74,5,6,74,86,4f3e650f9b81959387f54c6b3a43ad7e3f06fc02,Heatmor Master Ball Reverse Holo 016
017,Reshiram EX,Base,78,10,1,78,90,6e7c9bae194ea4b8762c81737dc442c4a1aa5c3a,Reshiram EX Base 017
018,Oshawott,Master Ball Reverse Holo,137,19,6,137,164,114701fc012af32639fac08d9144488139b76dd1,Oshawott Master Ball Reverse Holo 018
018,Oshawott,Reverse Holo,2,8,0,2,11,4675b029d1cfdf1235d2edd93ad5338156a97306,Oshawott Reverse Holo 018
018,Oshawott,Base,0,2,0,0,2,364dcbd03bca01aa8ce4c79741403b7ef023df6f,Oshawott Base 018
019,Dewott,Master Ball Reverse Holo,40,9,0,40,49,339d6cf842f6d8a07feedc93a8dafb413315f029,Dewott Master Ball Reverse Holo 019
019,Dewott,Reverse Holo,0,3,0,0,3,40368fd4a6ef8e1e12f956a59f71fbd4c166f165,Dewott Reverse Holo 019
019,Dewott,Base,1,1,0,1,2,337bb0a5566d62ad3cc3bddbbf286948ff051687,Dewott Base 019
020,Samurott,Master Ball Reverse Holo,68,6,0,68,74,ebf1753b03c336e8718ff602179c8329e406efc3,Samurott Master Ball Reverse Holo 020
020,Samurott,Base,4,2,0,4,6,e86bf0eda9181cfbe56810db14627db8f669b44b,Samurott Base 020
020,Samurott,Reverse Holo,0,4,0,0,4,f0580f36e73da0b0b9b5325da6b44769376f943a,Samurott Reverse Holo 020
021,Basculin,Master Ball Reverse Holo,59,12,0,59,72,34f2de8ec293e598c4bc33b72be35dba58981cc6,Basculin Master Ball Reverse Holo 021
021,Basculin,Reverse Holo,0,1,0,0,1,869f903a1486c01ba82d3ad7f40e06ccd70b256e,Basculin Reverse Holo 021
022,Ducklett,Master Ball Reverse Holo,29,11,2,29,42,24b303926dee80927a85f79837c4d90f69cde442,Ducklett Master Ball Reverse Holo 022
022,Ducklett,Base,1,0,0,1,1,e17df1eb6fa29b649954bce00b0850d8562cb1cc,Ducklett Base 022
023,Swanna,Master Ball Reverse Holo,49,10,1,49,61,ef27738b6685f92cafd63463a1522bcbab3cfc3c,Swanna Master Ball Reverse Holo 023
024,Vanillite,Master Ball Reverse Holo,25,6,0,25,31,5b1aa438e9f2c1f846a3cbaae08c46445bcedc24,Vanillite Master Ball Reverse Holo 024
024,Vanillite,Reverse Holo,0,0,1,0,1,70e83e5473bc8574338306603c179140886c07d2,Vanillite Reverse Holo 024
025,Vanillish,Master Ball Reverse Holo,36,8,2,36,47,306711259420e51eb392b3d23dbbaeae5a65083f,Vanillish Master Ball Reverse Holo 025
