card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
017,Reshiram EX,Base,3,3,1,3,7,57a86cda6163fe426f8387df384b2d0d08434b7c,Reshiram EX Base 017
018,Oshawott,Master Ball Reverse Holo,1,0,0,1,1,1508e8aaffdcc2d531c608453d2e4a7e30d1a8b7,Oshawott Master Ball Reverse Holo 018
020,Samurott,Base,0,0,1,0,1,321b6bf31e29bb4780e8d763023e94fc1a80a554,Samurott Base 020
027,Keldeo EX,Base,1,0,0,1,1,010b11ae29cdafb77f5f806fe6d3dc6fe3548048,Keldeo EX Base 027
028,Blitzle,Master Ball Reverse Holo,0,1,0,0,1,1ba64c88e7c763f8a4c8c1c049825571dae9fdd3,Blitzle Master Ball Reverse Holo 028
042,Jellicent EX,Base,1,0,0,1,1,dd00dded9fe06c11c68db3e7cea11074dee43c14,Jellicent EX Base 042
050,Mienshao,Reverse Holo,1,0,0,1,1,7d35218b23544997f7b7e21a0e95c323ae7705f1,Mienshao Reverse Holo 050
059,Zoroark,Master Ball Reverse Holo,2,2,0,2,4,9d5da1544f50b3fc036c7d2f69cbc8ee73f4bbe8,Zoroark Master Ball Reverse Holo 059
062,Hydreigon EX,Base,0,1,0,0,1,9a57c5514a4ab76e1da444453cf1853daacf3606,Hydreigon EX Base 062
075,Bouffalant EX,Base,2,0,0,2,2,62315c316d10ec84db24eecd845dd6fb508c0825,Bouffalant EX Base 075
087,Sewaddle,Art Rare,2,0,0,2,2,c272c9f55e10a811d7f60deb647dca9eaae68fa5,Sewaddle Art Rare 087
090,Cottonee,Art Rare,2,2,0,2,4,1f1d1a1efc23b17db1caa2c287a5b79efb81cac6,Cottonee Art Rare 090
091,Deerling,Art Rare,2,0,0,2,2,7d7d42cb9796d46b0d2e0bba88488c39dfe85e00,Deerling Art Rare 091
093,Shelmet,Art Rare,2,0,1,2,3,5f9532b52f1f9edd3c8ad5a67ca6366fcd97b547,Shelmet Art Rare 093
095,Virizion,Art Rare,2,0,0,2,2,91915baffb86dc63716aa933a477347c0429a307,Virizion Art Rare 095
096,Tepig,Art Rare,6,0,0,6,6,927693e82a1288796e2c515c4086f680923d8b8c,Tepig Art Rare 096
097,Pignite,Art Rare,1,1,0,1,2,192e8ebb63e40dca3e757ebf99f17ce24923eef8,Pignite Art Rare 097
098,Emboar,Art Rare,1,0,0,1,1,a6ea0a290d24df011b34883061fe9615c234003f,Emboar Art Rare 098
099,Pansear,Art Rare,2,0,0,2,2,ced41d987d4e2acea90e53cbf387371703164433,Pansear Art Rare 099
100,Simisear,Art Rare,1,0,0,1,1,b1a02db3b4e3dd3c44fcb02b942938b2cf5a5de0,Simisear Art Rare 100
102,Oshawott,Art Rare,11,1,0,11,14,60f378da935368a61158f04a493d10be8a5939fc,Oshawott Art Rare 102
103,Dewott,Art Rare,0,1,0,0,1,05464c9a2f5f371e86877625e69e5cace7a750d8,Dewott Art Rare 103
104,Samurott,Art Rare,2,0,0,2,2,0919f6730facfe71e0dbc5bb35a2ba00681762bf,Samurott Art Rare 104
105,Basculin,Art Rare,2,0,0,2,2,664864214c9f231f9fcb06351dd971862d140be1,Basculin Art Rare 105
106,Ducklett,Art Rare,3,0,0,3,3,415ecbbf56a55d130262696f5b4a63163beedbe3,Ducklett Art Rare 106
110,Vanilluxe,Art Rare,1,0,0,1,1,2ef9e808d58eae142e3434814ff89b017cdef74c,Vanilluxe Art Rare 110
112,Zebstrika,Art Rare,1,0,0,1,1,bdaf80d02c0bb5b8456b2e3d9ac050ea373a6c26,Zebstrika Art Rare 112
113,Joltik,Art Rare,2,0,1,2,3,185ddb8e548562e7a54475bf6d39a89b5ac2d4f6,Joltik Art Rare 113
118,Sigilyph,Art Rare,0,1,0,0,1,7e3f3fd18d399b66aea92d4d9d4765485de82c4c,Sigilyph Art Rare 118
120,Cofagrigus,Art Rare,1,0,0,1,1,fc058d79e664879e90e28386dc580f3938b588d9,Cofagrigus Art Rare 120
121,Gothita,Art Rare,2,0,0,2,2,6d264db8dbaeff4c1a9cd10f655a17dbcf03ff18,Gothita Art Rare 121
123,Gothitelle,Art Rare,3,0,0,3,3,6cfecfade385d7d0907c77bc54971607f076cbf5,Gothitelle Art Rare 123
125,Roggenrola,Art Rare,3,0,0,3,3,6ddcdee1f83e5d0c0623e5cbb221f34c28fe3cec,Roggenrola Art Rare 125
128,Sawk,Art Rare,2,0,0,2,2,7621bdfaf037f649014c5dfc20bbede3cc5ee737,Sawk Art Rare 128
129,Archen,Art Rare,2,0,0,2,2,0e74d0bda5e3bf213b79d4730a125baa417da93f,Archen Art Rare 129
130,Archeops,Art Rare,1,0,0,1,1,4522b111c3a995f1e6ece99f31fef7ef782c9452,Archeops Art Rare 130
131,Mienfoo,Art Rare,2,0,0,2,2,5fdd88324fa3e2823390d1955d17becd2f9c6eee,Mienfoo Art Rare 131
133,Terrakion,Art Rare,1,0,1,1,2,e92ea2315f6c07dc372dc9c9a415a01f79b6ba87,Terrakion Art Rare 133
134,Purrloin,Art Rare,2,1,1,2,4,2a90d2d8a2142ecf63a3ea874aff7468a91faf11,Purrloin Art Rare 134
137,Scrafty,Art Rare,1,0,1,1,2,2caa323683d0f1ce728c91c41e22a23445341d58,Scrafty Art Rare 137
139,Garbodor,Art Rare,1,0,0,1,1,ca3c6fb55039382b137894dd5740b15718fa3b83,Garbodor Art Rare 139
140,Zorua,Art Rare,0,2,0,0,2,1ee687fd4d482c1df1c3d136701154048d6e90ab,Zorua Art Rare 140
141,Zoroark,Art Rare,9,0,0,9,9,447828a287b6346fc9660c363aafbf051dc4306d,Zoroark Art Rare 141
142,Deino,Art Rare,1,1,0,1,2,9e367c9cad23924dc23450e4645289a855cd63f7,Deino Art Rare 142
