card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Bulbasaur,Best Buy Exclusive,707,942,165,707,1860,f97042a168df9501518d021eea86d6f424f4f096,Bulbasaur Best Buy Exclusive 001
001,Bulbasaur,Reverse Holo,174,225,50,174,461,3b3e4513736ca19ff0ca54b30e1a41ac928081fd,Bulbasaur Reverse Holo 001
001,Bulbasaur,Base,62,107,29,62,207,689b2ae9d008fc37e64bbd9f077a92a361c3ee2e,Bulbasaur Base 001
002,Ivysaur,Reverse Holo,59,69,13,59,142,592c785bbaf0b4c051e99f24894384fcc78b4e8e,Ivysaur Reverse Holo 002
002,Ivysaur,Base,17,23,6,17,48,412ee9675ec051d260617c63e532c18cce27f5ef,Ivysaur Base 002
003,Venusaur EX,Base,633,1109,385,633,2227,c0805586bc3cb5b95e7f656acbf180c9b54e47e2,Venusaur EX Base 003
004,Charmander,Gamestop Exclusive,736,1441,263,736,2529,33c8c4c78dd33a22752fbde2cbb1e0cd9829d909,Charmander Gamestop Exclusive 004
004,Charmander,EB Games Exclusive,239,319,49,239,618,d9c004ff3b09babccd6267d1575e5277e4be87ad,Charmander EB Games Exclusive 004
004,Charmander,Reverse Holo,130,169,35,130,345,3c88e883661f9cf846db5b6145c49b15000e0c97,Charmander Reverse Holo 004
004,Charmander,Base,58,90,20,58,177,a49a678c9a6cfb973d35e96c1bb7b85ea2dc8e71,Charmander Base 004
005,Charmeleon,Reverse Holo,46,95,34,46,180,d11ebe71df8f34541a5b6eca34427c276fbe185b,Charmeleon Reverse Holo 005
005,Charmeleon,Base,29,37,15,29,85,b434fbd8696f21c4fe34965d45be1c2ee8345c38,Charmeleon Base 005
006,Charizard EX,Base,1846,2902,1048,1846,6053,f741321a9535b9a9ee0e25ac16399e530eb9f812,Charizard EX Base 006
007,Squirtle,Pokemon Center 151 Pre-Order Promo,1417,2435,378,1417,4412,723f50db66b045c2d3e5c867fab85835651189f6,Squirtle Pokemon Center 151 Pre-Order Promo 007
007,Squirtle,Reverse Holo,194,306,71,194,594,f02198c6602ef71efd7f48f8d12475e264fe2e93,Squirtle Reverse Holo 007
007,Squirtle,Base,59,109,30,59,210,c3c1c2c1af7014befc3ea467cd1cfe013c63cc6b,Squirtle Base 007
008,Wartortle,Reverse Holo,61,84,21,61,168,b71f0330cab1c913bb21e0112c92d4c0c342d2c4,Wartortle Reverse Holo 008
008,Wartortle,Base,13,22,4,13,43,88108bf8b51e66915ebf26b858c138cc8452c479,Wartortle Base 008
009,Blastoise EX,Base,1049,1624,561,1049,3363,7225aa01a7e5cf03430ab0e16d61e1aa68016088,Blastoise EX Base 009
010,Caterpie,Reverse Holo,15,19,13,15,47,e9b2c3d8ad0ade850a98deaef31a37916f0994dd,Caterpie Reverse Holo 010
010,Caterpie,Base,9,7,2,9,19,582fb61b7a888ca5c6700c8225a7842995a70ed4,Caterpie Base 010
011,Metapod,Reverse Holo,13,30,3,13,48,b3795e068ccb0375b06b919140b668f045bcdff5,Metapod Reverse Holo 011
011,Metapod,Base,4,3,0,4,7,14024902349b995e457c206eb86268ce390c9c36,Metapod Base 011
012,Butterfree,Reverse Holo,23,21,6,23,54,f1984a0115d8cbaa3ca1631770c2f806d546be6d,Butterfree Reverse Holo 012
012,Butterfree,Base,5,6,1,5,15,a36f9f1f21b43eebf38907071f13161ff491666d,Butterfree Base 012
013,Weedle,Reverse Holo,11,16,4,11,33,fca12af1a9b31894ccec9ece914844a859374f07,Weedle Reverse Holo 013
013,Weedle,Base,5,3,1,5,10,bbb299d8f66ebb5937c9f63965535397aeff956c,Weedle Base 013
014,Kakuna,Reverse Holo,9,13,2,9,24,59f2ecd8249774cb7167f3bba450620090047d09,Kakuna Reverse Holo 014
014,Kakuna,Base,1,3,4,1,8,b7a2b9239d463ee1aee35eb42ac43f3c49eb6df4,Kakuna Base 014
015,Beedrill,Base,26,34,3,26,66,f839a22e2a9ffc0e10109341c7010871fc358ae4,Beedrill Base 015
015,Beedrill,Reverse Holo,19,11,3,19,33,aeab877fcc08427835ed0148e3b262eac6b36b6e,Beedrill Reverse Holo 015
016,Pidgey,Pokemon League,29,41,9,29,80,d88b5b4141f33c915b4724cae2651199203679bf,Pidgey Pokemon League 016
016,Pidgey,Reverse Holo,11,21,9,11,42,e52a5a1b68a91003a06e8ebc63ff61ece6c20da5,Pidgey Reverse Holo 016
016,Pidgey,Base,1,4,2,1,7,4c60a6f38234737287a7b47264a9fd982fd60d16,Pidgey Base 016
017,Pidgeotto,Reverse Holo,10,13,2,10,25,74da05a580711d302a763bf60775068cb3e802f9,Pidgeotto Reverse Holo 017
017,Pidgeotto,Base,3,2,1,3,7,df7f0d9ea345bfde6b944abf54423c3eb7675bd3,Pidgeotto Base 017
018,Pidgeot,Reverse Holo,17,14,9,17,40,f8079a08a8d88ac844fb9f6e97b9dd352991ba8d,Pidgeot Reverse Holo 018
018,Pidgeot,Base,6,5,1,6,13,047971bd241f4c31a83e603d4b599c9ec1094d0b,Pidgeot Base 018
019,Rattata,Reverse Holo,11,19,2,11,33,a692991bafb659abf1457a1b5531ca659d2fd0b2,Rattata Reverse Holo 019
019,Rattata,Base,5,2,1,5,8,b17434cf5d5ec8cee2613792453bb0bc21a85aa0,Rattata Base 019
020,Raticate,Reverse Holo,14,14,4,14,34,66f1b6c4138afc4e95cd3178ecc01ac606769879,Raticate Reverse Holo 020
020,Raticate,Base,6,6,1,6,13,0571c87bc6f1e37c85ac81c034bb59f3c38e4259,Raticate Base 020
021,Spearow,Reverse Holo,8,15,4,8,27,fb3981fde98fde1902c55b9f61ba1b60c7ed8e20,Spearow Reverse Holo 021
021,Spearow,Base,4,2,1,4,10,2305a0362369f8755b6d02c44dcd418701c6d711,Spearow Base 021
022,Fearow,Reverse Holo,11,8,4,11,25,fcbabdb9fc205ad4a10261fc63a3d7d09c1fb5c1,Fearow Reverse Holo 022
022,Fearow,Base,3,5,1,3,9,9289c21a6ded7a3bb14868f10a8d2fbc109b6468,Fearow Base 022
023,Ekans,Reverse Holo,15,15,5,15,39,d83660830ea5ca599df63ca9518d39f1926c237f,Ekans Reverse Holo 023
023,Ekans,Base,3,4,1,3,8,dc25e1cadf54e9bf08de6df01b1bef83625211bf,Ekans Base 023
024,Arbok EX,Base,119,159,74,119,370,925fef86b417f900978641a8747b9a177c233579,Arbok EX Base 024
