card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Bulbasaur,Master Ball Reverse Holo,3749,414,60,3749,4271,c67a0eda36717c9cb3f34407b02fbcc3642c232c,Bulbasaur Master Ball Reverse Holo 001
001,Bulbasaur,Reverse Holo,63,150,6,63,221,3459df8320981c4da1083b5f2c7f103b4599a05f,Bulbasaur Reverse Holo 001
001,Bulbasaur,Base,43,4,1,43,49,77204af057a45af1887990cbc6a241c673094bcf,Bulbasaur Base 001
002,Ivysaur,Master Ball Reverse Holo,2200,244,34,2200,2498,9143c1c4f84a883b56553338fca813f662393204,Ivysaur Master Ball Reverse Holo 002
002,Ivysaur,Reverse Holo,47,80,5,47,135,b614cadd614a67ef9c0a41092e62dcdf0a2403cb,Ivysaur Reverse Holo 002
002,Ivysaur,Base,18,3,0,18,21,9744f9762ffd71e25752c99b5f731f7afa259016,Ivysaur Base 002
003,Venusaur EX,Base,1681,215,23,1681,1943,1ba4f7438088c43a5abcf7130251f419e22d38b4,Venusaur EX Base 003
004,Charmander,Master Ball Reverse Holo,4251,530,75,4251,4903,2244e4bcf40201882e9bc8b96466c98d66b447a5,Charmander Master Ball Reverse Holo 004
004,Charmander,Reverse Holo,105,188,8,105,311,e2dcc71b482b65236cf6d78cda406bfe44bfa45c,Charmander Reverse Holo 004
004,Charmander,Base,200,62,8,200,277,d193cdf89f07d70f534d6c3784c0b7b301551634,Charmander Base 004
005,Charmeleon,Master Ball Reverse Holo,2333,302,51,2333,2712,859adeee2e13fce73805a8a725f6acaece8612ce,Charmeleon Master Ball Reverse Holo 005
005,Charmeleon,Base,147,24,4,147,179,aaec94c54605ce543d7dacecc48f54e934c85852,Charmeleon Base 005
005,Charmeleon,Reverse Holo,57,113,5,57,177,994fd14779427c7064f0b038b1e7f0fb8b183b04,Charmeleon Reverse Holo 005
006,Charizard EX,Base,6275,855,128,6275,7348,5da9c94728598d5345d0612505e9b5011d5fe640,Charizard EX Base 006
007,Squirtle,Master Ball Reverse Holo,4042,496,59,4042,4668,227d560d6cb2e18b6e4802a16a0e40efff8d40f6,Squirtle Master Ball Reverse Holo 007
007,Squirtle,Reverse Holo,93,217,12,93,327,13e5153a8b121f870ff56e559d554519b2718c3e,Squirtle Reverse Holo 007
007,Squirtle,Base,161,27,2,161,195,e2860f30fc5ac7ac2e7ba067fd55ffd6db17d588,Squirtle Base 007
008,Wartortle,Master Ball Reverse Holo,2232,263,37,2232,2546,2b4c689910a1761beb5a1ab28a421cec01a1b5de,Wartortle Master Ball Reverse Holo 008
008,Wartortle,Reverse Holo,34,81,7,34,125,c5f4f81aecf2763a1f5739fe657ae96c7da4091c,Wartortle Reverse Holo 008
008,Wartortle,Base,22,5,0,22,28,2c797b7d156e9471c3da13634fc82ea7a78b1a44,Wartortle Base 008
009,Blastoise EX,Base,2070,338,60,2070,2494,d0b3b2d754b75d45efcc07fe5e8857c25966aabd,Blastoise EX Base 009
010,Caterpie,Master Ball Reverse Holo,623,85,9,623,724,6481e4dce469c7f1c5ac461ed8c68888c93aedf4,Caterpie Master Ball Reverse Holo 010
010,Caterpie,Reverse Holo,12,15,0,12,27,f510fbfb6f8a7401ce5996ae234f089e8b30db44,Caterpie Reverse Holo 010
010,Caterpie,Base,5,1,0,5,6,4164c6050a90e18e1a8333e224caf8c6cca0e084,Caterpie Base 010
011,Metapod,Master Ball Reverse Holo,644,78,11,644,740,ed568c4cb14141239d3047e2133a234dee6f870b,Metapod Master Ball Reverse Holo 011
011,Metapod,Reverse Holo,18,40,0,18,59,587cb1204a2f0dd8a819513f6642e602b2369a10,Metapod Reverse Holo 011
011,Metapod,Base,3,4,0,3,7,b23bd3e57d5c3a500d1fa355731891c04ca0c0bb,Metapod Base 011
012,Butterfree,Master Ball Reverse Holo,682,84,20,682,795,3feeedfce28775bc8c632006f8cda855d9c21c1e,Butterfree Master Ball Reverse Holo 012
012,Butterfree,Reverse Holo,15,28,0,15,43,3196f7ab901cb72440ef667862bcf9954b5e144e,Butterfree Reverse Holo 012
012,Butterfree,Base,4,1,0,4,6,0215db615534c793a62f797c8611e513db1e2252,Butterfree Base 012
013,Weedle,Master Ball Reverse Holo,635,44,9,635,695,c33cabbf848b1eb6eb36915a6048bdb0e0e8313a,Weedle Master Ball Reverse Holo 013
013,Weedle,Reverse Holo,15,26,0,15,42,f44f456d5efffb5324638e74e0999e02528084c3,Weedle Reverse Holo 013
013,Weedle,Base,4,0,0,4,4,4196839ac935b852fedbae3a1f39ae273753ff8f,Weedle Base 013
014,Kakuna,Master Ball Reverse Holo,605,55,2,605,668,eeeacec8ba73f6b1bc55638d6be2ac5de67a4f60,Kakuna Master Ball Reverse Holo 014
014,Kakuna,Reverse Holo,6,29,1,6,36,a4cbd4ab02e38636d30b0bd4698dcf996cec2cb4,Kakuna Reverse Holo 014
014,Kakuna,Base,3,2,0,3,5,2d1221b3bd99ed482171a7ec7f9b10b2cbb7d8bb,Kakuna Base 014
015,Beedrill,Master Ball Reverse Holo,642,83,8,642,736,9a9a8d838e950b670fea29df9279fe37bfa0056a,Beedrill Master Ball Reverse Holo 015
015,Beedrill,Base,24,9,3,24,36,a92384eec4b626ba83423ae4a19a497317d44274,Beedrill Base 015
015,Beedrill,Reverse Holo,11,20,0,11,31,4706d60e92b79d1efcedf33d15dcbf6dd56e9ede,Beedrill Reverse Holo 015
016,Pidgey,Master Ball Reverse Holo,958,141,13,958,1122,96df95e9ef909ab34c21fb58653f2d845a39cf2d,Pidgey Master Ball Reverse Holo 016
