card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Bulbasaur,Master Ball Reverse Holo,14,7,1,14,24,d3e91cf873fc434f893af843e5600c036704b174,Bulbasaur Master Ball Reverse Holo 001
001,Bulbasaur,Reverse Holo,5,1,0,5,7,ba4cd64a2127c6cd6e322052e58a41a75576cdd8,Bulbasaur Reverse Holo 001
001,Bulbasaur,Base,0,0,1,0,2,c4b3e49eea12110b97ccc1e6775ea36c555f9e7b,Bulbasaur Base 001
002,Ivysaur,Master Ball Reverse Holo,7,5,2,7,14,731318f63de99cd342f1512bece3f9382dd769bb,Ivysaur Master Ball Reverse Holo 002
002,Ivysaur,Reverse Holo,2,2,0,2,4,c0dc2833045959b8cbb01fce6805f93e9def2450,Ivysaur Reverse Holo 002
002,Ivysaur,Base,1,0,0,1,1,5782884a6738a513022ffe9e919587d614cd6732,Ivysaur Base 002
003,Venusaur EX,Base,25,7,1,25,33,0c341d3a48c48dc05ca6159dfc474219d2dff3cb,Venusaur EX Base 003
004,Charmander,Master Ball Reverse Holo,10,16,0,10,26,a420243edb304c860ebd89fbd1af3f06fb6bd3ed,Charmander Master Ball Reverse Holo 004
004,Charmander,Reverse Holo,2,3,0,2,5,ae8d4a897b6ef67cef62b4548199199b27c84ca3,Charmander Reverse Holo 004
004,Charmander,Base,0,1,0,0,1,83ee31306db40cc158555a652c7aa51f55f435e2,Charmander Base 004
005,Charmeleon,Master Ball Reverse Holo,9,9,0,9,18,6c7a175ea4918b1dc745855fb2cbb8e66dc5d42e,Charmeleon Master Ball Reverse Holo 005
005,Charmeleon,Reverse Holo,1,2,1,1,4,96b82b1ad8bce2ebda438633ae8c083877d7757b,Charmeleon Reverse Holo 005
005,Charmeleon,Base,0,1,0,0,1,948ab1ac4324f3a67e9984ec4f9fa6e7d38d2322,Charmeleon Base 005
006,Charizard EX,Base,97,21,6,97,128,df351d2518a18677963605ac7ed67fa59a3b1a8d,Charizard EX Base 006
007,Squirtle,Master Ball Reverse Holo,16,10,0,16,26,51ed3a31b8da7cd9e2b1cf6c4023c497d396a400,Squirtle Master Ball Reverse Holo 007
007,Squirtle,Reverse Holo,3,2,1,3,6,d944017f49b63de48e8361ee7fbc4db9e8f8fff4,Squirtle Reverse Holo 007
007,Squirtle,Base,0,2,2,0,5,3152202c2bade797040f3a72eed15ae84c1c523c,Squirtle Base 007
008,Wartortle,Master Ball Reverse Holo,13,4,2,13,19,2aa1a5290da6a0eb3cc675ff5f9cbbf13eb1e3ea,Wartortle Master Ball Reverse Holo 008
008,Wartortle,Reverse Holo,1,1,0,1,2,8ec255a9504a9a1b4de463c9ac295d66122985a5,Wartortle Reverse Holo 008
009,Blastoise EX,Base,31,13,3,31,48,e6b9851bcc50854c447c8525f67df13da37a93b3,Blastoise EX Base 009
010,Caterpie,Master Ball Reverse Holo,3,0,0,3,3,ab377ff1cd7be2ddddad6f5709e90bc39d1e8f11,Caterpie Master Ball Reverse Holo 010
010,Caterpie,Reverse Holo,1,1,0,1,2,cff0532fbb3c95487483318454ed4313d20a61ca,Caterpie Reverse Holo 010
011,Metapod,Master Ball Reverse Holo,3,4,0,3,8,624cb449aa050fa19fd1a9d1c7f1a48ac71d9b88,Metapod Master Ball Reverse Holo 011
011,Metapod,Reverse Holo,2,2,0,2,4,f2db758b6d94f4f0e2982b2b77ccb5bf78c7b065,Metapod Reverse Holo 011
011,Metapod,Base,1,2,0,1,3,2190a1d4e02e5fcb32e85dc54481130f49e2ef34,Metapod Base 011
012,Butterfree,Master Ball Reverse Holo,1,5,0,1,6,52cf717827ccd457fce8ad19375d3d3c7f709aba,Butterfree Master Ball Reverse Holo 012
013,Weedle,Master Ball Reverse Holo,3,1,0,3,5,0c877358d75ead191b2e20d106ee8559d41aec81,Weedle Master Ball Reverse Holo 013
013,Weedle,Reverse Holo,0,1,0,0,1,9657df40862bd534ba79f5887043b429daba432d,Weedle Reverse Holo 013
014,Kakuna,Master Ball Reverse Holo,4,4,0,4,8,85cba40aeac1558f89119b5dbacac7328bb674cc,Kakuna Master Ball Reverse Holo 014
014,Kakuna,Reverse Holo,1,0,0,1,1,7121bbbbfbd3939d324d9a8f0801fc000c3b7953,Kakuna Reverse Holo 014
015,Beedrill,Master Ball Reverse Holo,4,1,0,4,5,bc2db377e6a5086e854b168b55b48d8354caade2,Beedrill Master Ball Reverse Holo 015
016,Pidgey,Master Ball Reverse Holo,3,0,0,3,3,6e4c31461869837884761a7904444a8f2a69a363,Pidgey Master Ball Reverse Holo 016
017,Pidgeotto,Master Ball Reverse Holo,5,1,0,5,6,7033c3cb0ff5eed920871a9ea279bd995218e1d7,Pidgeotto Master Ball Reverse Holo 017
018,Pidgeot,Master Ball Reverse Holo,1,1,0,1,2,ab234bc37536f979a53003df136b2300ce5d9dba,Pidgeot Master Ball Reverse Holo 018
019,Rattata,Master Ball Reverse Holo,3,2,0,3,5,bd9fc453ca7a95515858397be62d5ec3df4b216b,Rattata Master Ball Reverse Holo 019
019,Rattata,Reverse Holo,1,0,0,1,1,c626153bfd5061155d047eef42c5c190d0c26a97,Rattata Reverse Holo 019
020,Raticate,Master Ball Reverse Holo,3,2,0,3,5,cd4c4f7e22bb24db0cfb45ff9dc4fb25ebae981f,Raticate Master Ball Reverse Holo 020
021,Spearow,Master Ball Reverse Holo,4,3,0,4,7,b93cf545e15df8b8b4ea09e49470aa06939f35aa,Spearow Master Ball Reverse Holo 021
021,Spearow,Reverse Holo,0,1,0,0,1,89fdf1516691709c5f65bf0a7a881825c23485fe,Spearow Reverse Holo 021
022,Fearow,Master Ball Reverse Holo,3,4,0,3,7,6404e9785d2d07b87893a600cb43f36e0edb48dc,Fearow Master Ball Reverse Holo 022
023,Ekans,Master Ball Reverse Holo,1,0,1,1,2,e7096482d1f1fdea366559f4915b87cf17027568,Ekans Master Ball Reverse Holo 023
024,Arbok EX,Base,3,1,2,3,7,1cca57f88f266c8a6ebd86621ed3180e29f9cfaa,Arbok EX Base 024
025,Pikachu,Master Ball Reverse Holo,34,85,12,34,134,c0b0ea6d05d04541f4e5db643b4841d617adcd19,Pikachu Master Ball Reverse Holo 025
025,Pikachu,Reverse Holo,27,14,2,27,43,400828cf5ccd50ef5dd8a7671f0cdffd2b4c5cf6,Pikachu Reverse Holo 025
025,Pikachu,Base,3,3,0,3,7,6029518325a381b12651a2542669ecfab52f2c8c,Pikachu Base 025
026,Raichu,Master Ball Reverse Holo,6,3,0,6,9,faa8768fc215426d6cb2f60b90dd92c7d0dbf79f,Raichu Master Ball Reverse Holo 026
026,Raichu,Reverse Holo,1,2,0,1,3,168b046833e6b3175042ca98bcf9e11f340e737d,Raichu Reverse Holo 026
026,Raichu,Base,1,1,1,1,3,7d72ed83df91e9b891609f2c4bf3868933afccf6,Raichu Base 026
027,Sandshrew,Master Ball Reverse Holo,4,2,1,4,7,3f025bc5a7ae8b03f1af5e585cd49f89d5c9cc2d,Sandshrew Master Ball Reverse Holo 027
027,Sandshrew,Reverse Holo,2,0,0,2,2,aa854322f1551df74be6cc3c60bfa080f8c46a35,Sandshrew Reverse Holo 027
