card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
002,Spidops,Promo Card Pack,55,4,0,55,62,b002d136d624f4c6d5c47d5bf8b908b17b68f061,Spidops Promo Card Pack 002
003,Arcanine,Promo Card Pack,287,14,2,287,305,65744253188a2d31f67b5124a6963fa65ef83333,Arcanine Promo Card Pack 003
004,Dondozo,Promo Card Pack,59,3,0,59,64,f0cdc44d837a2ba3b1087b4ae0b504c494982064,Dondozo Promo Card Pack 004
005,Miraidon,Promo Card Pack,193,12,1,193,208,a8487b649c17ef3956eee292834f249288c4be5a,Miraidon Promo Card Pack 005
006,Espathra,Promo Card Pack,53,5,0,53,60,7f471b2296cbf98c8b8cb96b486b2d28538ca0a5,Espathra Promo Card Pack 006
007,Koraidon,Promo Card Pack,166,15,3,166,185,d2c7aed03e47bcf70a7cf7886f3fc5908f43676d,Koraidon Promo Card Pack 007
008,Oinkologne,Promo Card Pack,60,3,0,60,66,f398d9a182f2e4a18e5af12f1ee61e200c0c0634,Oinkologne Promo Card Pack 008
009,Cyclizar EX,Promo Card Pack,122,19,2,122,145,d042472baa57d8b144d19e226ae708ffc4b4d6a6,Cyclizar EX Promo Card Pack 009
010,Poke Ball,Energy Card Set,2,1,0,2,3,fb852467dc4967d2a0185e102c189cece715bb31,Poke Ball Energy Card Set 010
011,Switch,Energy Card Set,1,1,0,1,2,c3259b39ca2737395e8ae2ac53d6c6efc0913cc2,Switch Energy Card Set 011
012,Nemona,Energy Card Set,2,0,0,2,2,13a41dd80fb6beae3c0429f2002ee2dedfd1785c,Nemona Energy Card Set 012
013,Rotom,EX Starter Set Pikachu EX & Pawmot,11,2,1,11,14,9f9d46d2713a42b54be9052ebdd3c1a668471d55,Rotom EX Starter Set Pikachu EX & Pawmot 013
014,Crushing Hammer,Event Organizer Trainer's Pack,2,0,0,2,2,5de53d6a8c7e0616088e4db84bdc89e6d7490354,Crushing Hammer Event Organizer Trainer's Pack 014
015,Nest Ball,Event Organizer Trainer's Pack,4,2,0,4,7,b840cec0094437cd7d95cd1082fd92826d5ac82d,Nest Ball Event Organizer Trainer's Pack 015
016,Rare Candy,Event Organizer Trainer's Pack,4,0,1,4,6,45ae492cbe96b7bf971104ee0a8a4c08e1b654ab,Rare Candy Event Organizer Trainer's Pack 016
017,Switch,Event Organizer Trainer's Pack,4,2,0,4,6,2977f293d7500736908338f7aac8fa53923307eb,Switch Event Organizer Trainer's Pack 017
018,Exp. Share,Event Organizer Trainer's Pack,1,0,0,1,1,dca84a8fc0ff343b4c1d511a5390ed76767def89,Exp. Share Event Organizer Trainer's Pack 018
019,Vitality Band,Event Organizer Trainer's Pack,1,0,0,1,1,2f00dc1ff731177f8054d972bd52eaff33266478,Vitality Band Event Organizer Trainer's Pack 019
020,Jacq,Event Organizer Trainer's Pack,3,1,1,3,6,161478606eb9c5cdd0d0c1de52cc859b5c7c895d,Jacq Event Organizer Trainer's Pack 020
021,Professor's Research,Event Organizer Trainer's Pack,3,2,1,3,7,c533f43ec06e68a2794321dcd742ca55ea2c164b,Professor's Research Event Organizer Trainer's Pack 021
022,Professor's Research,Event Organizer Trainer's Pack,4,2,1,4,7,00a4659385dc634d7e0ba36837bc2bfb2e96d7b7,Professor's Research Event Organizer Trainer's Pack 022
023,Smoliv,Pokemon Card Gym Promo Card Pack 1,2,2,1,2,5,d34dd552e8138a8a1fa808fc33ad5d77ddadbfce,Smoliv Pokemon Card Gym Promo Card Pack 1 023
024,Growlithe,Pokemon Card Gym Promo Card Pack 1,42,3,4,42,53,14d002a267f127025cad6970b614123eb6a9c2f6,Growlithe Pokemon Card Gym Promo Card Pack 1 024
025,Flaaffy,Pokemon Card Gym Promo Card Pack 1,8,3,0,8,11,7c9395810d84d698d42a97e9b96ded7004ab5270,Flaaffy Pokemon Card Gym Promo Card Pack 1 025
026,Houndstone,Pokemon Card Gym Promo Card Pack 1,4,0,0,4,4,9e46c6fed7825d9171f1201b747a6b43f7b9d64a,Houndstone Pokemon Card Gym Promo Card Pack 1 026
027,Klawf EX,Pokemon Card Gym Promo Card Pack 1,5,2,0,5,8,e37e64e0128c4047971ffccb82e42db003eda31a,Klawf EX Pokemon Card Gym Promo Card Pack 1 027
028,Varoom,Pokemon Card Gym Promo Card Pack 1,1,0,1,1,2,cf095aa3e0bc4456e242ddb8b216ff52736b6ea6,Varoom Pokemon Card Gym Promo Card Pack 1 028
029,Brassius,Pokemon Card Gym Promo Card Pack 1,1,0,0,1,1,0d517ecfe5408efb62f12cc33b2f0ab73345c4ce,Brassius Pokemon Card Gym Promo Card Pack 1 029
030,Arven,Pokemon Card Gym New Release Battle Winner Prize,15,1,0,15,16,439d8e1d50046a4893767bf4daa69c8499898c02,Arven Pokemon Card Gym New Release Battle Winner Prize 030
031,Eevee,Straightaway Battle Participation,441,84,10,441,538,716a695b851c39b6f67b8e3696123a5e64eb65a0,Eevee Straightaway Battle Participation 031
032,Eevee,Casual Battle,429,45,9,429,491,116cb6d27a3bc0446edf851389aa2b7de2fee830,Eevee Casual Battle 032
033,Eevee,Pokemon Card Game Classroom Participation,1155,144,26,1155,1352,5b00736f161c54c69953f437a52eaf306f404fd7,Eevee Pokemon Card Game Classroom Participation 033
034,Hawlucha,First Entry Campaign,1,2,0,1,3,6ebd49d0f18270e18be0ac65469cdb03f5689743,Hawlucha First Entry Campaign 034
035,Pawmi,Corocoro Ichiban!-April 2023,82,11,1,82,94,917b11b67d9ae7c80ade155d1767c74bc1b93795,Pawmi Corocoro Ichiban!-April 2023 035
036,Charcadet,Champions League 2023 Participation,65,2,1,65,69,487d2f3c54a8e5d4cf7c31fdbce78bae83b3ed0d,Charcadet Champions League 2023 Participation 036
037,Basic Grass Energy,Champions League 2023 Participation,1,0,0,1,1,90bbde039f26a9ab918f0cba00268d89d722e611,Basic Grass Energy Champions League 2023 Participation 037
038,Basic Fire Energy,Champions League 2023 Participation,1,1,0,1,2,de34267d8d967a76e12d636766dfe268f2d260a7,Basic Fire Energy Champions League 2023 Participation 038
039,Basic Water Energy,Champions League 2023 Participation,1,0,0,1,1,d722b961fb4ffff68875e6015aa694afd9cf73ba,Basic Water Energy Champions League 2023 Participation 039
040,Basic Lightning Energy,Champions League 2023 Participation,1,0,0,1,1,a55ce6e93df632b676cbd761cb3ba44d152e0424,Basic Lightning Energy Champions League 2023 Participation 040
041,Basic Psychic Energy,Champions League 2023 Participation,1,0,0,1,1,08ebb6ea883f9ab0d20102db685efd819ca8d2e2,Basic Psychic Energy Champions League 2023 Participation 041
042,Basic Fighting Energy,Champions League 2023 Participation,2,0,0,2,2,a9fd7fad70f60f36f7387e8f4f69aeefef87eb08,Basic Fighting Energy Champions League 2023 Participation 042
043,Basic Darkness Energy,Champions League 2023 Participation,2,0,0,2,2,249af5731997918df9ad7551419313a7ca8b7695,Basic Darkness Energy Champions League 2023 Participation 043
044,Basic Metal Energy,Champions League 2023 Participation,1,0,0,1,1,7a9cebadd21abd835722d254f0409c0385b293f7,Basic Metal Energy Champions League 2023 Participation 044
